Domain Code,Domain,Area_Code_(FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2000","2000","ha","7000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2002","2002","ha","5500","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2004","2004","ha","12000","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2006","2006","ha","12000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2008","2008","ha","12000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2010","2010","ha","11210","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2012","2012","ha","13490","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2014","2014","ha","13703","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2016","2016","ha","19481","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2018","2018","ha","20053","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2020","2020","ha","22134","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2000","2000","hg/ha","17143","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2002","2002","hg/ha","21407","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2004","2004","hg/ha","12250","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2006","2006","hg/ha","16667","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2008","2008","hg/ha","35000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2010","2010","hg/ha","49955","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2012","2012","hg/ha","45960","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2014","2014","hg/ha","19996","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2016","2016","hg/ha","16859","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2018","2018","hg/ha","17161","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","221","Almonds, with shell","2020","2020","hg/ha","17759","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2000","2000","tonnes","12000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2002","2002","tonnes","11774","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2004","2004","tonnes","14700","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2006","2006","tonnes","20000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2008","2008","tonnes","42000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2010","2010","tonnes","56000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2012","2012","tonnes","62000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2014","2014","tonnes","27400","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2016","2016","tonnes","32843","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2018","2018","tonnes","34413","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2020","2020","tonnes","39307","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2000","2000","ha","5598","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2002","2002","ha","5045","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2004","2004","ha","2311","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2006","2006","ha","7000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2008","2008","ha","7000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2010","2010","ha","8550","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2012","2012","ha","9148","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2014","2014","ha","12247","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2016","2016","ha","19365","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2018","2018","ha","28381","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2020","2020","ha","25643","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","2000","2000","hg/ha","72419","Fc","Calculated data"
